2.1.0	2.1.0	{Case: [genitive], Gender: [masculine], Number: [singular]}	
Ἄλκηστις	Ἄλκηστις	{Case: [nominative], Gender: [feminine], Number: [singular]}	Alcestis
τότε	τότε	{}	at that time, then
προελθοῦσα	προέρχομαι	{Aspect: [perfective], Case: [nominative], Gender: [feminine], Number: [singular], Tense: [past], VerbForm: [participle], Voice: [active]}	to go forward, go on, advance
φανερά	φανερός	{Case: [nominative], Degree: [positive], Gender: [feminine], Number: [singular]}	open to sight, visible, manifest, evident
ἐστιν	εἰμί	{Mood: [indicative], Number: [singular], Person: [third], Tense: [present], VerbForm: [finite], Voice: [active]}	to be
οὖσα	εἰμί	{Case: [nominative], Gender: [feminine], Number: [singular], Tense: [present], VerbForm: [participle], Voice: [active]}	to be
Ἀδμήτου	Ἄδμητος	{Case: [genitive], Gender: [masculine], Number: [singular]}	Admetus
γυνή.	γυνή	{Case: [nominative], Gender: [feminine], Number: [singular]}	a woman
2.6.0	2.6.0	{Case: [genitive], Gender: [masculine], Number: [singular]}	
The	The	{Case: [accusative], Gender: [feminine], Number: [singular]}	
Olympic	Olympic	{Case: [genitive], Gender: [feminine], Number: [singular]}	
Games	Games	{Case: [genitive], Degree: [positive], Gender: [masculine], Number: [singular]}	
2.6.1	2.6.1	{Case: [genitive], Gender: [masculine], Number: [singular]}	
Ἤλιδί	Ἤλις	{Case: [dative], Gender: [feminine], Number: [singular]}	
ἐστι	εἰμί	{Mood: [indicative], Number: [singular], Person: [third], Tense: [present], VerbForm: [finite], Voice: [active]}	to be
πόλις	πόλις	{Case: [nominative], Gender: [feminine], Number: [singular]}	a city
Ὀλυμπία,	Ὀλυμπία	{Case: [nominative], Gender: [feminine], Number: [singular]}	Olympia
πέμπτου	πέμπτος	{Case: [genitive], Gender: [neuter], Number: [singular]}	the fifth, oneself with four others
ἔτους	ἔτος	{Case: [genitive], Gender: [neuter], Number: [singular]}	a year
ἀγῶνες	ἀγών	{Case: [nominative], Gender: [masculine], Number: [plural]}	a gathering; a contest, a struggle, a trial
ἐγίγνοντο.	ἐγιγίγνομαι	{Aspect: [imperfective], Mood: [indicative], Number: [plural], Person: [third], Tense: [past], VerbForm: [finite], Voice: [middle]}	
Καὶ	καί	{}	and, also
ἀγῶνας,	ἀγών	{Case: [accusative], Gender: [masculine], Number: [plural]}	a gathering; a contest, a struggle, a trial
φασιν,	φημί	{Mood: [indicative], Number: [singular], Person: [third], Tense: [present], VerbForm: [finite], Voice: [active]}	to say, to claim
Ἡρακλῆς	Ἡρακλῆς	{Case: [genitive], Gender: [feminine], Number: [singular]}	Heracles
ἔθηκεν,	τίθημι	{Aspect: [perfective], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	to set, put, place
ἀδελφοὺς	ἀδελφός	{Case: [accusative], Gender: [masculine], Number: [plural]}	(of the same mother) brother; adj brotherly, sisterly, akin
ἁμίλλῃ	ἅμιλλα	{Case: [dative], Gender: [feminine], Number: [singular]}	a contest for superiority, a conflict
δρόμου	δρόμος	{Case: [genitive], Gender: [masculine], Number: [singular]}	a course, running, race
νικήσας.	νικάω	{Aspect: [perfective], Case: [nominative], Gender: [masculine], Number: [singular], Tense: [past], VerbForm: [participle], Voice: [active]}	to conquer, prevail, vanquish
Ἀφικόμενος	Ἀφικόμαιος	{Case: [nominative], Gender: [masculine], Number: [singular]}	
γάρ	γάρ	{}	for
ποτε	ποτε	{}	ever, sometime
Ἴδης	Ἴδη	{Case: [genitive], Gender: [feminine], Number: [singular]}	Ida
Κρητικῆς	Κρητικός	{Case: [genitive], Degree: [positive], Gender: [feminine], Number: [singular]}	of Crete, Cretan
μετ	μετ	{}	
αὐτῶν	αὐτός	{Case: [genitive], Gender: [masculine], Number: [plural], Person: [third], PrononimalType: [personal]}	unemph. 3rd pers.pronoun; -self; [the] same 
ἔφη	φημί	{Aspect: [imperfective], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	to say, to claim
νικήσαντα	νικάω	{Aspect: [perfective], Case: [accusative], Gender: [masculine], Number: [singular], Tense: [past], VerbForm: [participle], Voice: [active]}	to conquer, prevail, vanquish
κλάδῳ	κλάδος	{Case: [dative], Gender: [masculine], Number: [singular]}	a young slip
κοτίνου	κότινος	{Case: [genitive], Degree: [positive], Gender: [masculine], Number: [singular]}	the wild olive-tree
στεφανώσειν·	στεφανόω	{Tense: [future], VerbForm: [infinitive], Voice: [active]}	to wreathe, to crown
οὐδὲν	οὐδείς	{Case: [accusative], Gender: [neuter], Number: [singular]}	not one, nobody
ἆθλον	ἄθλος	{Case: [accusative], Gender: [neuter], Number: [singular]}	
ἔκειτο	κεῖμαι	{Aspect: [imperfective], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [middle]}	to lie; to have been set/put (as perf. pass. of τίθημι)
ἀγῶσιν,	ἄγωσις	{Case: [dative], Gender: [masculine], Number: [plural]}	
στέφανος	στέφανος	{Case: [nominative], Gender: [masculine], Number: [singular]}	wreath, crown
μόνον	μόνος	{Case: [accusative], Degree: [positive], Gender: [neuter], Number: [singular]}	alone, left alone, forsaken solitary
κοτίνου.	κοτίνω	{Mood: [imperative], Number: [singular], Person: [third], Tense: [present], VerbForm: [finite], Voice: [middle]}	
Κομισθῆναι	κομίζω	{Aspect: [perfective], Tense: [past], VerbForm: [infinitive], Voice: [active]}	to take care of, provide for
Ὑπερβορέων	Ὑπερβορεύς	{Case: [genitive], Gender: [masculine], Number: [plural]}	
γῆς	γῆ	{Case: [genitive], Gender: [feminine], Number: [singular]}	earth
κότινόν	κότις	{Case: [accusative], Gender: [masculine], Number: [singular], PrononimalType: [relative]}	
φασιν	φημί	{Mood: [indicative], Number: [plural], Person: [third], Tense: [present], VerbForm: [finite], Voice: [active]}	to say, to claim
Ἡρακλέους	Ἡρακλῆς	{Case: [genitive], Gender: [masculine], Number: [singular]}	Heracles
Ἑλλάδα·	Ἑλλάς	{Case: [accusative], Gender: [feminine], Number: [singular]}	Hellas
Ὑπερβόρεοι	Ὑπερβόρεις	{Case: [nominative], Gender: [masculine], Number: [plural]}	
οἰκοῦσιν	οἰκέω	{Mood: [indicative], Number: [plural], Person: [third], Tense: [present], VerbForm: [finite], Voice: [active]}	to inhabit, occupy
ἄνεμον	ἄνεμος	{Case: [accusative], Gender: [masculine], Number: [singular]}	wind
Βορεάν.	Βορεάν	{Case: [accusative], Gender: [masculine], Number: [singular]}	
2.6.2	2.6.2	{Case: [accusative], Gender: [masculine], Number: [singular]}	
ἀγώνων	ἄγων	{Case: [genitive], Gender: [masculine], Number: [plural]}	
πρῶτος	πρῶτος	{Case: [nominative], Gender: [masculine], Number: [singular]}	first
ἦν	εἰμί	{Aspect: [imperfective], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	to be
δρόμος.	δρόμος	{Case: [nominative], Gender: [masculine], Number: [singular]}	a course, running, race
ὕστερον	ὕστερος	{Case: [accusative], Degree: [positive], Gender: [neuter], Number: [singular]}	latter, last
προσέκειντο	πρόσκειμαι	{Aspect: [imperfective], Mood: [indicative], Number: [plural], Person: [third], Tense: [past], VerbForm: [finite], Voice: [middle]}	to be placed at, by; to be attached to, devoted to
πυγμὴ	πυγμή	{Case: [nominative], Gender: [feminine], Number: [singular]}	a fist
πάλη	πάλη	{Case: [nominative], Gender: [feminine], Number: [singular]}	wrestling
πήδημα.	πήδημα	{Case: [nominative], Gender: [neuter], Number: [singular]}	a leap, bound
Πάντες	πᾶς	{Case: [nominative], Gender: [masculine], Number: [plural]}	all, the whole
ἀγῶνες	ἀγών	{Case: [nominative], Gender: [masculine], Number: [plural]}	a gathering; a contest, a struggle, a trial
σταδίῳ	στάδιον	{Case: [dative], Gender: [neuter], Number: [singular]}	a stade, = ca. 600 feet
ἐγίγνοντο	γίγνομαι	{Aspect: [imperfective], Mood: [indicative], Number: [plural], Person: [third], Tense: [past], VerbForm: [finite], Voice: [middle]}	become, be born
πολλαὶ	πολύς	{Case: [nominative], Degree: [positive], Gender: [feminine], Number: [plural]}	much, many
μυριάδες	μυριάς	{Case: [nominative], Gender: [feminine], Number: [plural]}	a number of ten thousand, myriad
ἀνδρῶν	ἀνήρ	{Case: [genitive], Gender: [masculine], Number: [plural]}	a man
ξυνελέγοντο	ξυναλέγω	{Aspect: [imperfective], Mood: [indicative], Number: [plural], Person: [third], Tense: [past], VerbForm: [finite], Voice: [middle]}	
θέαμα.	θέαμα	{Case: [accusative], Gender: [neuter], Number: [singular]}	that which is seen, a sight, show, spectacle
Ἔπειτα	ἔπειτα	{}	then, next
ἔθηκέ	τίθημι	{Aspect: [perfective], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	to set, put, place
δρόμον	δρόμος	{Case: [accusative], Gender: [masculine], Number: [singular]}	a course, running, race
ἁρμάτων	ἅρμα	{Case: [genitive], Gender: [neuter], Number: [plural]}	a chariot
ἄθλῳ	ἄθλος	{Case: [dative], Gender: [masculine], Number: [singular]}	
νικήσας	νικάω	{Aspect: [perfective], Case: [nominative], Gender: [masculine], Number: [singular], Tense: [past], VerbForm: [participle], Voice: [active]}	to conquer, prevail, vanquish
πολλῇ	πολύς	{Case: [dative], Degree: [positive], Gender: [feminine], Number: [singular]}	much, many
τιμῇ	τιμή	{Case: [dative], Gender: [feminine], Number: [singular]}	that which is paid in token of worth
εἴχετο.	εἴχομαι	{Aspect: [imperfective], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [middle]}	
Λέγεται	λέγω	{Mood: [indicative], Number: [singular], Person: [third], Tense: [present], VerbForm: [finite], Voice: [passive]}	to say, tell, speak; epic and arch.: pick, gather
Ἀλκιβιάδης	Ἀλκιβιάδης	{Case: [nominative], Gender: [masculine], Number: [singular]}	Alcibiades
πρᾶξαι	πράσσω	{Aspect: [perfective], Tense: [past], VerbForm: [infinitive], Voice: [active]}	do, (w. adv) fare, (mid.) charge payment
πρᾶγμά	πρᾶγμα	{Case: [accusative], Gender: [neuter], Number: [singular]}	that which has been done, a deed, act
οἷον	οἷος	{Case: [accusative], Gender: [masculine], Number: [singular], PrononimalType: [relative]}	(such a kind) as; for οἷός τε see οἷος III.2
ἀλλ	ἀάπτω	{Mood: [indicative], Number: [singular], Person: [third], Tense: [present], VerbForm: [finite], Voice: [active]}	
ἐκεῖνος	ἐκεῖνος	{Case: [nominative], Gender: [masculine], Number: [singular]}	that over there, that
μόνος.	μόνος	{Case: [nominative], Degree: [positive], Gender: [masculine], Number: [singular]}	alone, left alone, forsaken solitary
Πλουσιώτατος	Πλουσιός	{Case: [nominative], Degree: [positive], Gender: [masculine], Number: [singular]}	
ὢν	εἰμί	{Case: [nominative], Gender: [masculine], Number: [singular], Tense: [present], VerbForm: [participle], Voice: [active]}	to be
πολλοὺς	πολύς	{Case: [accusative], Degree: [positive], Gender: [masculine], Number: [plural]}	much, many
καλοὺς	καλός	{Case: [accusative], Degree: [positive], Gender: [masculine], Number: [plural]}	beautiful
ἵππους	ἵππος	{Case: [accusative], Gender: [masculine], Number: [plural]}	a horse, mare
ἔχων	ἔχω	{Case: [nominative], Gender: [masculine], Number: [singular], Tense: [present], VerbForm: [participle], Voice: [active]}	have, hold; be able; (+ adv.) be; (mid.) cling to, be next to (+ gen.)
ἔπεμψεν	πέμπω	{Aspect: [perfective], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	to send, despatch
ἐλάσσω	ἐλάσσων	{Case: [accusative], Degree: [comparative], Gender: [neuter], Number: [plural]}	smaller, less
ἑπτὰ	ἑπτά	{}	seven
ἁρμάτων	ἅρμα	{Case: [genitive], Gender: [neuter], Number: [plural]}	a chariot
Ὀλύμπια	Ὀλύμπιος	{Case: [accusative], Degree: [positive], Gender: [neuter], Number: [plural]}	Olympian, of Olympus, dwelling on Olympus
πρῶτον	πρῶτος	{Case: [accusative], Gender: [neuter], Number: [singular]}	first
δεύτερον	δεύτερος	{Case: [accusative], Gender: [neuter], Number: [singular]}	second
τέταρτον	τέταρτος	{Case: [accusative], Gender: [neuter], Number: [singular]}	fourth
ἆθλον	ἄθλος	{Case: [accusative], Gender: [neuter], Number: [singular]}	
ἐφέρετο.	φέρω	{Aspect: [imperfective], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [middle]}	to bear
2.6.3	2.6.3	{Case: [accusative], Degree: [positive], Gender: [masculine], Number: [singular]}	
ἔμελλεν	μέλλω	{Aspect: [imperfective], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	to think of doing, intend to do, to be about to do
δρόμῳ	δρόμος	{Case: [dative], Gender: [masculine], Number: [singular]}	a course, running, race
πηδήματι	πήδημα	{Case: [dative], Gender: [neuter], Number: [singular]}	a leap, bound
πάλῃ	πάλη	{Case: [dative], Gender: [feminine], Number: [singular]}	wrestling
ἀγωνιοῦσθαι,	ἀγωνιόομαι	{Tense: [present], VerbForm: [infinitive], Voice: [middle]}	
ἔδει	δεῖ	{Aspect: [imperfective], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	it is necessary
ἐκεῖνον,	ἐκεῖνος	{Case: [accusative], Gender: [masculine], Number: [singular]}	that over there, that
δέκα	δέκα	{}	ten
μῆνας	μείς	{Case: [accusative], Gender: [masculine], Number: [plural]}	a month; crescent moon
Ὀλυμπίᾳ	Ὀλυμπία	{Case: [dative], Gender: [feminine], Number: [singular]}	Olympia
ζῶντα,	ζῶ	{Case: [accusative], Gender: [masculine], Number: [plural], Tense: [present], VerbForm: [participle], Voice: [active]}	live
μανθάνειν	μανθάνω	{Tense: [present], VerbForm: [infinitive], Voice: [active]}	to learn
ἀσκεῖν	ἀσκέω	{Tense: [present], VerbForm: [infinitive], Voice: [active]}	(prose) exercise, train (poetry) to work curiously, form by art, fashion,  revere
ἄθλους	ἄθλος	{Case: [accusative], Gender: [masculine], Number: [plural]}	
ἰσχυρὸν	ἰσχυρός	{Case: [accusative], Degree: [positive], Gender: [masculine], Number: [singular]}	strong, mighty
σῶμα	σῶμα	{Case: [accusative], Gender: [neuter], Number: [singular]}	the body
ποιεῖν.	ποιέω	{Tense: [present], VerbForm: [infinitive], Voice: [active]}	to make, to do
Ἐπὶ	ἐπί	{}	on, upon with gen., dat., and acc.
μέγα	μέγας	{Case: [accusative], Degree: [positive], Gender: [neuter], Number: [singular]}	big, great
γυμνάσιον	γυμνάσιον	{Case: [accusative], Gender: [neuter], Number: [singular]}	(gymnastic) school; (pl.) exercises
παλαίστραν	παλαίστρα	{Case: [accusative], Gender: [feminine], Number: [singular]}	a palaestra, wrestling-school
ἔθηκαν,	τίθημι	{Aspect: [perfective], Mood: [indicative], Number: [plural], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	to set, put, place
δύναιτο	δύναμαι	{Mood: [optative], Number: [singular], Person: [third], Tense: [present], VerbForm: [finite], Voice: [middle]}	to be able, capable, strong enough
ἰδεῖν	ὁράω	{Aspect: [perfective], Tense: [past], VerbForm: [infinitive], Voice: [active]}	to see
Ὀλυμπίᾳ	Ὀλυμπία	{Case: [dative], Gender: [feminine], Number: [singular]}	Olympia
πολὺ	πολύς	{Case: [accusative], Degree: [positive], Gender: [neuter], Number: [singular]}	much, many
ἀπέχοντα	ἀπέχω	{Case: [accusative], Gender: [masculine], Number: [singular], Tense: [present], VerbForm: [participle], Voice: [active]}	to keep off
σταδιόυ.	στάδιον	{Case: [genitive], Gender: [masculine], Number: [singular]}	a stade, = ca. 600 feet
Καὶ	καί	{}	and, also
Διὸς	Ζεύς	{Case: [genitive], Gender: [masculine], Number: [singular]}	Zeus
ἱερῷ	ἱερόν	{Case: [dative], Gender: [neuter], Number: [singular]}	sanctuary
ἄλσει	ἄλσος	{Case: [dative], Gender: [neuter], Number: [singular]}	a glade
πλατάνων	πλατάνω	{Case: [nominative], Gender: [masculine], Number: [singular], Tense: [present], VerbForm: [participle], Voice: [active]}	
ᾠκοδομημένῳ	οἰκοδομέω	{Aspect: [perfective], Case: [dative], Gender: [masculine], Number: [singular], Tense: [past], VerbForm: [participle], Voice: [passive]}	to build a house
νικήσαντες	νικάω	{Aspect: [perfective], Case: [nominative], Gender: [masculine], Number: [plural], Tense: [past], VerbForm: [participle], Voice: [active]}	to conquer, prevail, vanquish
εἰκόνας	εἰκών	{Case: [accusative], Gender: [feminine], Number: [plural]}	a likeness, image, portrait
ἀνέθηκαν	ἀνατίθημι	{Aspect: [perfective], Mood: [indicative], Number: [plural], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	dedicate, refer
θεῷ.	θεός	{Case: [dative], Gender: [masculine], Number: [singular]}	god
Διὸς	Ζεύς	{Case: [genitive], Gender: [masculine], Number: [singular]}	Zeus
ἄγαλμα	ἄγαλμα	{Case: [nominative], Gender: [neuter], Number: [singular]}	a glory, delight, honour; a cult statue
Φειδίας	Φειδίας	{Case: [genitive], Gender: [feminine], Number: [singular]}	Phidias
ἐποιήσε	ποιέω	{Aspect: [perfective], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	to make, to do
χρυσοῦν	χρύσεος	{Case: [nominative], Degree: [positive], Gender: [neuter], Number: [singular]}	golden, of gold, decked
ἐλεφάντινον	ἐλεφάντινος	{Case: [nominative], Degree: [positive], Gender: [neuter], Number: [singular]}	of ivory, ivory
ἦν,	ἦν,	{}	
πεντήκοντα	πεντήκοντα	{}	fifty
ποδῶν	πούς	{Case: [genitive], Gender: [masculine], Number: [plural]}	a foot
ὕψος.	ὕψος	{Case: [nominative], Gender: [neuter], Number: [singular]}	height
Τουτο	τουτο	{}	
ἄγαλμα	ἄγαλμα	{Case: [accusative], Gender: [neuter], Number: [singular]}	a glory, delight, honour; a cult statue
ὕστερον	ὕστερος	{Case: [accusative], Degree: [positive], Gender: [neuter], Number: [singular]}	latter, last
Βυζάντιον	Βυζάντιον	{Case: [accusative], Gender: [neuter], Number: [singular]}	Byzantium (no LSJ entry; see Byzantium)
ἐκομίσθη.	κομίζω	{Aspect: [perfective], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [passive]}	to take care of, provide for
2.7.0	2.7.0	{}	
Hector	Hector	{Case: [genitive], Degree: [positive], Gender: [feminine], Number: [singular]}	
and	and	{Case: [accusative], Gender: [feminine], Number: [singular]}	
Andromache	Andromache	{Case: [genitive], Degree: [positive], Gender: [masculine], Number: [singular]}	
2.7.1	2.7.1	{Case: [accusative], Gender: [masculine], Number: [singular]}	
Μακρὸν	Μάκροι	{Case: [accusative], Gender: [masculine], Number: [singular]}	
χρόνον	χρόνος	{Case: [accusative], Gender: [masculine], Number: [singular]}	time
Δαναοὶ	Δαναοί	{Case: [nominative], Gender: [masculine], Number: [plural]}	the Danaans
ἐπολιόρκουν	πολιορκέω	{Aspect: [imperfective], Mood: [indicative], Number: [plural], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	to hem in a city, blockade, beleaguer, besiege
Τρώων	τρώς	{Case: [genitive], Gender: [masculine], Number: [plural]}	
πόλιν·	πόλις	{Case: [accusative], Gender: [feminine], Number: [singular]}	a city
πολέμου	πόλεμος	{Case: [genitive], Gender: [masculine], Number: [singular]}	battle, fight, war
Πάρις	Πάρις	{Case: [nominative], Gender: [feminine], Number: [singular]}	Paris son of Priam
ἀφελὼν	ἀφαιρέω	{Aspect: [perfective], Case: [nominative], Gender: [masculine], Number: [singular], Tense: [past], VerbForm: [participle], Voice: [active]}	to take from, take away from
Ἑλένην	Ἑλένη	{Case: [accusative], Gender: [feminine], Number: [singular]}	Helen
Μενέλεω	Μενέλαος	{Case: [genitive], Gender: [masculine], Number: [singular]}	Menelaos
γυναῖκα	γυνή	{Case: [accusative], Gender: [feminine], Number: [singular]}	a woman
αἴτιος	αἴτιος	{Case: [nominative], Degree: [positive], Gender: [masculine], Number: [singular]}	to blame, blameworthy, culpable
ἦν,	εἰμί	{Aspect: [imperfective], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	to be
Ἕκτωρ	Ἕκτωρ	{Case: [nominative], Gender: [masculine], Number: [singular]}	Hector
ἀδελφὸς	ἀδελφός	{Case: [nominative], Gender: [masculine], Number: [singular]}	(of the same mother) brother; adj brotherly, sisterly, akin
ἦν	εἰμί	{Aspect: [imperfective], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	to be
Πάριδος.	Πάριδος	{Case: [genitive], Gender: [feminine], Number: [singular]}	
Ἀναχωρήσας	ἀναχωρέω	{Aspect: [perfective], Case: [nominative], Gender: [masculine], Number: [singular], Tense: [past], VerbForm: [participle], Voice: [active]}	to go back
δέ	δέ	{}	but
ποτε	ποτε	{}	ever, sometime
μάχης	μάχη	{Case: [genitive], Gender: [feminine], Number: [singular]}	battle, fight, combat
προσῆλθε	προσέρχομαι	{Aspect: [perfective], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	to come
ἀδελφόν·	ἀδελφός	{Case: [accusative], Gender: [masculine], Number: [singular]}	(of the same mother) brother; adj brotherly, sisterly, akin
ἐβούλετο	βούλομαι	{Aspect: [imperfective], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [middle]}	to will, wish, be willing
πείθειν	πείθω	{Tense: [present], VerbForm: [infinitive], Voice: [active]}	to prevail upon, win over, persuade
αὐτὸν	αὐτός	{Case: [accusative], Gender: [masculine], Number: [singular], Person: [third], PrononimalType: [personal]}	unemph. 3rd pers.pronoun; -self; [the] same 
μάχεσθαι	μάχομαι	{Tense: [present], VerbForm: [infinitive], Voice: [middle]}	to fight
πολεμίους.	πολέμιος	{Case: [accusative], Degree: [positive], Gender: [masculine], Number: [plural]}	hostile; enemy
λόγους	λόγος	{Case: [accusative], Gender: [masculine], Number: [plural]}	the word
ἀκούσας	ἀκούω	{Aspect: [perfective], Case: [nominative], Gender: [masculine], Number: [singular], Tense: [past], VerbForm: [participle], Voice: [active]}	to hear
ἀντεῖπεν·	ἀντιλέγω	{Aspect: [perfective], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	to speak against; speak in turn, reply
«Εὖ	«Εὖ	{Case: [accusative], Gender: [neuter], Number: [singular], PrononimalType: [interrogative]}	
λέγεις	λέγω	{Mood: [indicative], Number: [singular], Person: [second], Tense: [present], VerbForm: [finite], Voice: [active]}	to say, tell, speak; epic and arch.: pick, gather
,»	,»	{Case: [vocative], Gender: [masculine], Number: [singular]}	
ἔφη,	φημί	{Mood: [imperative], Number: [singular], Person: [second], Tense: [present], VerbForm: [finite], Voice: [active]}	to say, to claim
ἀδελφέ,	ἀδελφός	{Case: [vocative], Gender: [masculine], Number: [singular]}	(of the same mother) brother; adj brotherly, sisterly, akin
ἀκολουθήσω	ἀκολουθέω	{Mood: [indicative], Number: [singular], Person: [first], Tense: [future], VerbForm: [finite], Voice: [active]}	to follow
σοι,	σύ	{Case: [dative], Gender: [masculine], Number: [singular], Person: [second], PrononimalType: [personal]}	you (personal pronoun)
ὀργὴν	ὀργή	{Case: [accusative], Gender: [feminine], Number: [singular]}	natural impulse, mood, temperament; anger
καρδίᾳ	καρδία	{Case: [dative], Gender: [feminine], Number: [singular]}	the heart
ἔχων	ἔχω	{Case: [nominative], Gender: [masculine], Number: [singular], Tense: [present], VerbForm: [participle], Voice: [active]}	have, hold; be able; (+ adv.) be; (mid.) cling to, be next to (+ gen.)
ἐνταῦθα	ἐνταῦθα	{}	here, there; at that juncture
οὕτω	οὕτω(ς)	{}	
διαμενῶ,	διαμένω	{Mood: [indicative], Number: [singular], Person: [first], Tense: [future], VerbForm: [finite], Voice: [active]}	to remain by, stand by
μετέχων	μετέχω	{Case: [nominative], Gender: [masculine], Number: [singular], Tense: [present], VerbForm: [participle], Voice: [active]}	to partake of, enjoy a share of, share in, take part in
μάχης	μάχη	{Case: [genitive], Gender: [feminine], Number: [singular]}	battle, fight, combat
2.7.2	2.7.2	{Case: [genitive], Gender: [masculine], Number: [singular]}	
Τότε	τότε	{}	at that time, then
Ἕκτωρ	Ἕκτωρ	{Case: [nominative], Gender: [masculine], Number: [singular]}	Hector
οἴκαδε	οἰκάω	{Aspect: [perfective], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	
ἀπῆλθεν,	ἀπέρχομαι	{Aspect: [perfective], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	to go away, depart from
ζητῶν	ζητέω	{Case: [nominative], Gender: [masculine], Number: [singular], Tense: [present], VerbForm: [participle], Voice: [active]}	to seek, seek for
Ἀνδρομάχην	Ἀνδρομάχη	{Case: [accusative], Gender: [feminine], Number: [singular]}	Andromache
γυναῖκα·	γυνή	{Case: [accusative], Gender: [feminine], Number: [singular]}	a woman
αὐτὴν	αὐτός	{Case: [accusative], Gender: [feminine], Number: [singular], Person: [third], PrononimalType: [personal]}	unemph. 3rd pers.pronoun; -self; [the] same 
πόλεως	πόλις	{Case: [genitive], Gender: [feminine], Number: [singular]}	a city
τείχεσι	τεῖχος	{Case: [dative], Gender: [neuter], Number: [plural]}	a wall
κατέλαβε	καταλαμβάνω	{Aspect: [perfective], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	to seize upon, lay hold of
τροφὸν	τροφός	{Case: [accusative], Gender: [feminine], Number: [singular]}	a feeder, rearer, nurse
παῖδα	παῖς	{Case: [accusative], Gender: [masculine], Number: [singular]}	a child
ἔχουσαν·	ἔχω	{Case: [accusative], Gender: [feminine], Number: [singular], Tense: [present], VerbForm: [participle], Voice: [active]}	have, hold; be able; (+ adv.) be; (mid.) cling to, be next to (+ gen.)
κατιδοῦσα	καθοράω	{Aspect: [perfective], Case: [nominative], Gender: [feminine], Number: [singular], Tense: [past], VerbForm: [participle], Voice: [active]}	(to look down); to observe
ἄνδρα	ἀνήρ	{Case: [accusative], Gender: [masculine], Number: [singular]}	a man
ἀπῄτησεν	ἀποτίτημι	{Aspect: [perfective], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	
αὖθις	αὖθις	{}	back, back again
πολεμίους	πολέμιος	{Case: [accusative], Degree: [positive], Gender: [masculine], Number: [plural]}	hostile; enemy
ἐξιέναι·	ξίνω	{Tense: [present], VerbForm: [infinitive], Voice: [active]}	
ἐφοβεῖτο	φοβέω	{Aspect: [imperfective], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [middle]}	to put to flight, to terrify; mid. to fear
ἀποθάνοι.	ἀποθνῄσκω	{Aspect: [perfective], Mood: [optative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	to die, be killed
Ἕκτωρ	Ἕκτωρ	{Case: [nominative], Gender: [masculine], Number: [singular]}	Hector
δεινὸν	δεινός	{Case: [accusative], Degree: [positive], Gender: [neuter], Number: [singular]}	fearful, terrible, dread, dire
νομίζων	νομίζω	{Case: [nominative], Gender: [masculine], Number: [singular], Tense: [present], VerbForm: [participle], Voice: [active]}	to have as a custom; to believe
εἰ,	εἰ,	{}	
σωτηρίαν	σωτηρία	{Case: [accusative], Gender: [feminine], Number: [singular]}	a saving, deliverance, preservation, safety
ζητῶν	ζητέω	{Case: [nominative], Gender: [masculine], Number: [singular], Tense: [present], VerbForm: [participle], Voice: [active]}	to seek, seek for
